PROCESS_DT,DLVR_STORE_SIDO,DLVR_STORE_INDUTY_NM,GOODS_AMOUNT
2020-01-01 00:00:00,강원도,카페/디저트,1703700
2020-01-02 00:00:00,강원도,카페/디저트,734100
2020-01-03 00:00:00,강원도,카페/디저트,1411000
2020-01-04 00:00:00,강원도,카페/디저트,1617700
2020-01-05 00:00:00,강원도,카페/디저트,1081200
2020-01-06 00:00:00,강원도,카페/디저트,1862800
2020-01-07 00:00:00,강원도,카페/디저트,973500
2020-01-08 00:00:00,강원도,카페/디저트,668000
2020-01-09 00:00:00,강원도,카페/디저트,761100
2020-01-10 00:00:00,강원도,카페/디저트,1003800
2020-01-11 00:00:00,강원도,카페/디저트,1435500
2020-01-12 00:00:00,강원도,카페/디저트,1324000
2020-01-13 00:00:00,강원도,카페/디저트,646700
2020-01-14 00:00:00,강원도,카페/디저트,669300
2020-01-15 00:00:00,강원도,카페/디저트,658300
2020-01-16 00:00:00,강원도,카페/디저트,714300
2020-01-17 00:00:00,강원도,카페/디저트,1079400
2020-01-18 00:00:00,강원도,카페/디저트,1237900
2020-01-19 00:00:00,강원도,카페/디저트,1454600
2020-01-20 00:00:00,강원도,카페/디저트,673500
2020-01-21 00:00:00,강원도,카페/디저트,493500
2020-01-22 00:00:00,강원도,카페/디저트,607000
2020-01-23 00:00:00,강원도,카페/디저트,1189000
2020-01-24 00:00:00,강원도,카페/디저트,1824300
2020-01-25 00:00:00,강원도,카페/디저트,18300
2020-01-26 00:00:00,강원도,카페/디저트,1901500
2020-01-27 00:00:00,강원도,카페/디저트,1544900
2020-01-28 00:00:00,강원도,카페/디저트,1059000
2020-01-29 00:00:00,강원도,카페/디저트,695700
2020-01-30 00:00:00,강원도,카페/디저트,661700
2020-01-31 00:00:00,강원도,카페/디저트,1433500
2020-02-01 00:00:00,강원도,카페/디저트,1554100
2020-02-02 00:00:00,강원도,카페/디저트,1851600
2020-02-03 00:00:00,강원도,카페/디저트,761100
2020-02-04 00:00:00,강원도,카페/디저트,734300
2020-02-05 00:00:00,강원도,카페/디저트,1191900
2020-02-06 00:00:00,강원도,카페/디저트,896000
2020-02-07 00:00:00,강원도,카페/디저트,1549500
2020-02-08 00:00:00,강원도,카페/디저트,1997000
2020-02-09 00:00:00,강원도,카페/디저트,2042000
2020-02-10 00:00:00,강원도,카페/디저트,1187400
2020-02-11 00:00:00,강원도,카페/디저트,910100
2020-02-12 00:00:00,강원도,카페/디저트,952700
2020-02-13 00:00:00,강원도,카페/디저트,741100
2020-02-14 00:00:00,강원도,카페/디저트,1522200
2020-02-15 00:00:00,강원도,카페/디저트,1205300
2020-02-16 00:00:00,강원도,카페/디저트,1634600
2020-02-17 00:00:00,강원도,카페/디저트,1233700
2020-02-18 00:00:00,강원도,카페/디저트,981400
2020-02-19 00:00:00,강원도,카페/디저트,994300
2020-02-20 00:00:00,강원도,카페/디저트,1221400
2020-02-21 00:00:00,강원도,카페/디저트,1458900
2020-02-22 00:00:00,강원도,카페/디저트,2204600
2020-02-23 00:00:00,강원도,카페/디저트,2172200
2020-02-24 00:00:00,강원도,카페/디저트,1003300
2020-02-25 00:00:00,강원도,카페/디저트,1195400
2020-02-26 00:00:00,강원도,카페/디저트,1204000
2020-02-27 00:00:00,강원도,카페/디저트,927600
2020-02-28 00:00:00,강원도,카페/디저트,2394200
2020-02-29 00:00:00,강원도,카페/디저트,2148500
2020-03-01 00:00:00,강원도,카페/디저트,2561400
2020-03-02 00:00:00,강원도,카페/디저트,1731400
2020-03-03 00:00:00,강원도,카페/디저트,1491100
2020-03-04 00:00:00,강원도,카페/디저트,1633400
2020-03-05 00:00:00,강원도,카페/디저트,1309300
2020-03-06 00:00:00,강원도,카페/디저트,2126300
2020-03-07 00:00:00,강원도,카페/디저트,2608500
2020-03-08 00:00:00,강원도,카페/디저트,1977100
2020-03-09 00:00:00,강원도,카페/디저트,1763600
2020-03-10 00:00:00,강원도,카페/디저트,1588700
2020-03-11 00:00:00,강원도,카페/디저트,1620900
2020-03-12 00:00:00,강원도,카페/디저트,1496300
2020-03-13 00:00:00,강원도,카페/디저트,1636700
2020-03-14 00:00:00,강원도,카페/디저트,2532500
2020-03-15 00:00:00,강원도,카페/디저트,2168100
2020-03-16 00:00:00,강원도,카페/디저트,1154100
2020-03-17 00:00:00,강원도,카페/디저트,1084300
2020-03-18 00:00:00,강원도,카페/디저트,1106100
2020-03-19 00:00:00,강원도,카페/디저트,1544200
2020-03-20 00:00:00,강원도,카페/디저트,1565400
2020-03-21 00:00:00,강원도,카페/디저트,1674700
2020-03-22 00:00:00,강원도,카페/디저트,2113200
2020-03-23 00:00:00,강원도,카페/디저트,1122400
2020-03-24 00:00:00,강원도,카페/디저트,785000
2020-03-25 00:00:00,강원도,카페/디저트,1305100
2020-03-26 00:00:00,강원도,카페/디저트,1142400
2020-03-27 00:00:00,강원도,카페/디저트,1824600
2020-03-28 00:00:00,강원도,카페/디저트,1688200
2020-03-29 00:00:00,강원도,카페/디저트,1830800
2020-03-30 00:00:00,강원도,카페/디저트,1280600
2020-03-31 00:00:00,강원도,카페/디저트,2133300
2020-04-01 00:00:00,강원도,카페/디저트,1162600
2020-04-02 00:00:00,강원도,카페/디저트,1264500
2020-04-03 00:00:00,강원도,카페/디저트,1733500
2020-04-04 00:00:00,강원도,카페/디저트,2479500
2020-04-05 00:00:00,강원도,카페/디저트,2524600
2020-04-06 00:00:00,강원도,카페/디저트,1646900
2020-04-07 00:00:00,강원도,카페/디저트,781900
2020-04-08 00:00:00,강원도,카페/디저트,1224600
2020-04-09 00:00:00,강원도,카페/디저트,1106500
2020-04-10 00:00:00,강원도,카페/디저트,1495200
2020-04-11 00:00:00,강원도,카페/디저트,2257200
2020-04-12 00:00:00,강원도,카페/디저트,1886700
2020-04-13 00:00:00,강원도,카페/디저트,1756200
2020-04-14 00:00:00,강원도,카페/디저트,1987700
2020-04-15 00:00:00,강원도,카페/디저트,2275400
2020-04-16 00:00:00,강원도,카페/디저트,1915500
2020-04-17 00:00:00,강원도,카페/디저트,2268100
2020-04-18 00:00:00,강원도,카페/디저트,2214200
2020-04-19 00:00:00,강원도,카페/디저트,2494300
2020-04-20 00:00:00,강원도,카페/디저트,1342600
2020-04-21 00:00:00,강원도,카페/디저트,1037100
2020-04-22 00:00:00,강원도,카페/디저트,982900
2020-04-23 00:00:00,강원도,카페/디저트,965400
2020-04-24 00:00:00,강원도,카페/디저트,1295800
2020-04-25 00:00:00,강원도,카페/디저트,2691100
2020-04-26 00:00:00,강원도,카페/디저트,3004100
2020-04-27 00:00:00,강원도,카페/디저트,924900
2020-04-28 00:00:00,강원도,카페/디저트,759600
2020-04-29 00:00:00,강원도,카페/디저트,892200
2020-04-30 00:00:00,강원도,카페/디저트,1815100
2020-05-01 00:00:00,강원도,카페/디저트,1240700
2020-05-02 00:00:00,강원도,카페/디저트,1851900
2020-05-03 00:00:00,강원도,카페/디저트,1773000
2020-05-04 00:00:00,강원도,카페/디저트,1577200
2020-05-05 00:00:00,강원도,카페/디저트,1881400
2020-05-06 00:00:00,강원도,카페/디저트,837600
2020-05-07 00:00:00,강원도,카페/디저트,787600
2020-05-08 00:00:00,강원도,카페/디저트,2325000
2020-05-09 00:00:00,강원도,카페/디저트,2424900
2020-05-10 00:00:00,강원도,카페/디저트,2139900
2020-05-11 00:00:00,강원도,카페/디저트,1404500
2020-05-12 00:00:00,강원도,카페/디저트,914700
2020-05-13 00:00:00,강원도,카페/디저트,952900
2020-05-14 00:00:00,강원도,카페/디저트,1294700
2020-05-15 00:00:00,강원도,카페/디저트,1621600
2020-05-16 00:00:00,강원도,카페/디저트,1852000
2020-05-17 00:00:00,강원도,카페/디저트,2147500
2020-05-19 00:00:00,강원도,카페/디저트,1083700
2020-05-20 00:00:00,강원도,카페/디저트,933500
2020-05-21 00:00:00,강원도,카페/디저트,1218600
2020-05-22 00:00:00,강원도,카페/디저트,1201100
2020-05-23 00:00:00,강원도,카페/디저트,1880100
2020-05-24 00:00:00,강원도,카페/디저트,1699800
2020-05-25 00:00:00,강원도,카페/디저트,878000
2020-05-26 00:00:00,강원도,카페/디저트,765900
2020-05-27 00:00:00,강원도,카페/디저트,895900
2020-05-28 00:00:00,강원도,카페/디저트,752700
2020-05-29 00:00:00,강원도,카페/디저트,1340900
2020-05-30 00:00:00,강원도,카페/디저트,1838800
2020-05-31 00:00:00,강원도,카페/디저트,2323100
2020-06-01 00:00:00,강원도,카페/디저트,1149500
2020-06-02 00:00:00,강원도,카페/디저트,1044300
2020-06-03 00:00:00,강원도,카페/디저트,1011500
2020-06-04 00:00:00,강원도,카페/디저트,1201500
2020-06-05 00:00:00,강원도,카페/디저트,1180100
2020-06-06 00:00:00,강원도,카페/디저트,2141500
2020-06-07 00:00:00,강원도,카페/디저트,1658700
2020-06-08 00:00:00,강원도,카페/디저트,1533700
2020-06-09 00:00:00,강원도,카페/디저트,1365900
2020-06-10 00:00:00,강원도,카페/디저트,1117200
2020-06-11 00:00:00,강원도,카페/디저트,1294800
2020-06-12 00:00:00,강원도,카페/디저트,1726300
2020-06-20 00:00:00,강원도,카페/디저트,3040000
2020-06-21 00:00:00,강원도,카페/디저트,2995100
2020-01-01 00:00:00,경기도,도시락,2381200
2020-01-01 00:00:00,경기도,돈까스/일식,28133200
2020-01-01 00:00:00,경기도,배달전문업체,7915500
2020-01-01 00:00:00,경기도,분식,35067150
2020-01-01 00:00:00,경기도,심부름,371100
2020-01-01 00:00:00,경기도,아시안/양식,10282300
2020-01-01 00:00:00,경기도,야식,22486205
2020-01-01 00:00:00,경기도,족발/보쌈,62752700
2020-01-01 00:00:00,경기도,중식,14707100
2020-01-01 00:00:00,경기도,찜탕,25138500
2020-01-01 00:00:00,경기도,치킨,81571799
2020-01-01 00:00:00,경기도,카페/디저트,27125200
2020-01-01 00:00:00,경기도,패스트푸드,18150500
2020-01-01 00:00:00,경기도,피자,27885490
2020-01-01 00:00:00,경기도,한식,61630900
2020-01-01 00:00:00,경기도,회,16153100
2020-01-02 00:00:00,경기도,도시락,4993280
2020-01-02 00:00:00,경기도,돈까스/일식,19175700
2020-01-02 00:00:00,경기도,배달전문업체,5484600
2020-01-02 00:00:00,경기도,분식,22369900
2020-01-02 00:00:00,경기도,심부름,514500
2020-01-02 00:00:00,경기도,아시안/양식,6561500
2020-01-02 00:00:00,경기도,야식,19025100
2020-01-02 00:00:00,경기도,족발/보쌈,31345400
2020-01-02 00:00:00,경기도,중식,9383200
2020-01-02 00:00:00,경기도,찜탕,14717800
2020-01-02 00:00:00,경기도,치킨,52226700
2020-01-02 00:00:00,경기도,카페/디저트,15959900
2020-01-02 00:00:00,경기도,패스트푸드,12635900
2020-01-02 00:00:00,경기도,피자,13940670
2020-01-02 00:00:00,경기도,한식,44560000
2020-01-02 00:00:00,경기도,회,7271200
2020-01-03 00:00:00,경기도,도시락,4105610
2020-01-03 00:00:00,경기도,돈까스/일식,23444400
2020-01-03 00:00:00,경기도,배달전문업체,5592800
2020-01-03 00:00:00,경기도,분식,26216700
2020-01-03 00:00:00,경기도,심부름,584700
2020-01-03 00:00:00,경기도,아시안/양식,6390100
2020-01-03 00:00:00,경기도,야식,22733908
2020-01-03 00:00:00,경기도,족발/보쌈,41882800
2020-01-03 00:00:00,경기도,중식,11369000
2020-01-03 00:00:00,경기도,찜탕,16803550
2020-01-03 00:00:00,경기도,치킨,71441100
2020-01-03 00:00:00,경기도,카페/디저트,18863050
2020-01-03 00:00:00,경기도,패스트푸드,14880000
2020-01-03 00:00:00,경기도,피자,14543050
2020-01-03 00:00:00,경기도,한식,45011700
2020-01-03 00:00:00,경기도,회,11503000
2020-01-04 00:00:00,경기도,도시락,3460600
2020-01-04 00:00:00,경기도,돈까스/일식,28109600
2020-01-04 00:00:00,경기도,배달전문업체,6110300
2020-01-04 00:00:00,경기도,분식,30954900
2020-01-04 00:00:00,경기도,심부름,592000
2020-01-04 00:00:00,경기도,아시안/양식,7574000
2020-01-04 00:00:00,경기도,야식,27477000
2020-01-04 00:00:00,경기도,족발/보쌈,52564100
2020-01-04 00:00:00,경기도,중식,14382400
2020-01-04 00:00:00,경기도,찜탕,19429050
2020-01-04 00:00:00,경기도,치킨,79601300
2020-01-04 00:00:00,경기도,카페/디저트,24823500
2020-01-04 00:00:00,경기도,패스트푸드,19455101
2020-01-04 00:00:00,경기도,피자,20327595
2020-01-04 00:00:00,경기도,한식,53663802
2020-01-04 00:00:00,경기도,회,16316300
2020-01-05 00:00:00,경기도,도시락,1996700
2020-01-05 00:00:00,경기도,돈까스/일식,27489000
2020-01-05 00:00:00,경기도,배달전문업체,6929600
2020-01-05 00:00:00,경기도,분식,32636100
2020-01-05 00:00:00,경기도,심부름,744500
2020-01-05 00:00:00,경기도,아시안/양식,10192800
2020-01-05 00:00:00,경기도,야식,23480100
2020-01-05 00:00:00,경기도,족발/보쌈,48767802
2020-01-05 00:00:00,경기도,중식,15244500
2020-01-05 00:00:00,경기도,찜탕,22690650
2020-01-05 00:00:00,경기도,치킨,78233600
2020-01-05 00:00:00,경기도,카페/디저트,26597100
2020-01-05 00:00:00,경기도,패스트푸드,20835500
2020-01-05 00:00:00,경기도,피자,21785085
2020-01-05 00:00:00,경기도,한식,59401500
2020-01-05 00:00:00,경기도,회,12292500
2020-01-06 00:00:00,경기도,도시락,6934080
2020-01-06 00:00:00,경기도,돈까스/일식,37241598
2020-01-06 00:00:00,경기도,배달전문업체,10069600
2020-01-06 00:00:00,경기도,분식,55295600
2020-01-06 00:00:00,경기도,심부름,515800
2020-01-06 00:00:00,경기도,아시안/양식,11715800
2020-01-06 00:00:00,경기도,야식,34290400
2020-01-06 00:00:00,경기도,족발/보쌈,71574800
2020-01-06 00:00:00,경기도,중식,20563400
2020-01-06 00:00:00,경기도,찜탕,29716800
2020-01-06 00:00:00,경기도,치킨,117561000
2020-01-06 00:00:00,경기도,카페/디저트,31068100
2020-01-06 00:00:00,경기도,패스트푸드,28655482
2020-01-06 00:00:00,경기도,피자,27779620
2020-01-06 00:00:00,경기도,한식,95361800
2020-01-06 00:00:00,경기도,회,13011200
2020-01-07 00:00:00,경기도,도시락,2790400
2020-01-07 00:00:00,경기도,돈까스/일식,18463600
2020-01-07 00:00:00,경기도,배달전문업체,5598800
2020-01-07 00:00:00,경기도,분식,30398900
2020-01-07 00:00:00,경기도,심부름,266300
2020-01-07 00:00:00,경기도,아시안/양식,5610200
2020-01-07 00:00:00,경기도,야식,20914800
2020-01-07 00:00:00,경기도,족발/보쌈,47246200
2020-01-07 00:00:00,경기도,중식,11638700
2020-01-07 00:00:00,경기도,찜탕,16287550
2020-01-07 00:00:00,경기도,치킨,74704880
2020-01-07 00:00:00,경기도,카페/디저트,16703200
2020-01-07 00:00:00,경기도,패스트푸드,17982401
2020-01-07 00:00:00,경기도,피자,14926620
2020-01-07 00:00:00,경기도,한식,51235000
2020-01-07 00:00:00,경기도,회,7599400
2020-01-08 00:00:00,경기도,도시락,4356290
2020-01-08 00:00:00,경기도,돈까스/일식,20514100
2020-01-08 00:00:00,경기도,배달전문업체,5647200
2020-01-08 00:00:00,경기도,분식,27946500
2020-01-08 00:00:00,경기도,심부름,1104500
2020-01-08 00:00:00,경기도,아시안/양식,6245900
2020-01-08 00:00:00,경기도,야식,17098200
2020-01-08 00:00:00,경기도,족발/보쌈,35890900
2020-01-08 00:00:00,경기도,중식,10052500
2020-01-08 00:00:00,경기도,찜탕,14611701
2020-01-08 00:00:00,경기도,치킨,59701801
2020-01-08 00:00:00,경기도,카페/디저트,14858600
2020-01-08 00:00:00,경기도,패스트푸드,13906800
2020-01-08 00:00:00,경기도,피자,14188065
2020-01-08 00:00:00,경기도,한식,44155400
2020-01-08 00:00:00,경기도,회,8605401
2020-01-09 00:00:00,경기도,도시락,2668200
2020-01-09 00:00:00,경기도,돈까스/일식,20023498
2020-01-09 00:00:00,경기도,배달전문업체,5518800
2020-01-09 00:00:00,경기도,분식,29988300
2020-01-09 00:00:00,경기도,심부름,175300
2020-01-09 00:00:00,경기도,아시안/양식,6250290
2020-01-09 00:00:00,경기도,야식,16748400
