date,province,confirmed,released,deceased
1월20일,강원도,0,0,0
1월21일,강원도,0,0,0
1월22일,강원도,0,0,0
1월23일,강원도,0,0,0
1월24일,강원도,0,0,0
1월25일,강원도,0,0,0
1월26일,강원도,0,0,0
1월27일,강원도,0,0,0
1월28일,강원도,0,0,0
1월29일,강원도,0,0,0
1월30일,강원도,0,0,0
1월31일,강원도,0,0,0
2월1일,강원도,0,0,0
2월2일,강원도,0,0,0
2월3일,강원도,0,0,0
2월4일,강원도,0,0,0
2월5일,강원도,0,0,0
2월6일,강원도,0,0,0
2월7일,강원도,0,0,0
2월8일,강원도,0,0,0
2월9일,강원도,0,0,0
2월10일,강원도,0,0,0
2월11일,강원도,0,0,0
2월12일,강원도,0,0,0
2월13일,강원도,0,0,0
2월14일,강원도,0,0,0
2월15일,강원도,0,0,0
2월16일,강원도,0,0,0
2월17일,강원도,0,0,0
2월18일,강원도,0,0,0
2월19일,강원도,0,0,0
2월20일,강원도,0,0,0
2월21일,강원도,0,0,0
2월22일,강원도,6,0,0
2월23일,강원도,0,0,0
2월24일,강원도,0,0,0
2월25일,강원도,0,0,0
2월26일,강원도,0,0,0
2월27일,강원도,0,0,0
2월28일,강원도,1,0,0
2월29일,강원도,0,0,0
3월1일,강원도,8,0,0
3월2일,강원도,4,0,0
3월3일,강원도,1,0,0
3월4일,강원도,1,0,0
3월5일,강원도,2,3,0
3월6일,강원도,2,0,0
3월7일,강원도,1,0,1
3월8일,강원도,1,0,0
3월9일,강원도,1,0,0
3월10일,강원도,0,3,0
3월11일,강원도,1,0,0
3월12일,강원도,0,0,0
3월13일,강원도,0,0,0
3월14일,강원도,0,0,0
3월15일,강원도,0,1,0
3월16일,강원도,0,0,0
3월17일,강원도,0,1,0
3월18일,강원도,1,0,0
3월19일,강원도,0,1,0
3월20일,강원도,0,1,0
3월21일,강원도,0,2,0
3월22일,강원도,0,1,0
3월23일,강원도,0,1,0
3월24일,강원도,0,0,0
3월25일,강원도,1,1,0
3월26일,강원도,0,3,0
3월27일,강원도,0,2,0
3월28일,강원도,1,0,0
3월29일,강원도,2,1,0
3월30일,강원도,2,0,0
3월31일,강원도,0,2,0
4월1일,강원도,2,0,0
4월2일,강원도,1,0,0
4월3일,강원도,2,0,0
4월4일,강원도,1,0,0
