date,test,negative,confirmed,released,deceased
2020-01-20,1,0,1,0,0
2020-01-21,0,0,0,0,0
2020-01-22,3,3,0,0,0
2020-01-23,18,18,0,0,0
2020-01-24,5,4,1,0,0
2020-01-25,0,0,0,0,0
2020-01-26,24,22,1,0,0
2020-01-27,10,9,1,0,0
2020-01-28,55,41,0,0,0
2020-01-29,71,58,0,0,0
2020-01-30,59,44,2,0,0
2020-01-31,66,46,5,0,0
2020-02-01,59,44,1,0,0
2020-02-02,58,38,3,0,0
2020-02-03,61,87,0,0,0
2020-02-04,117,48,1,0,0
2020-02-05,107,60,2,1,0
2020-02-06,171,171,5,1,0
2020-02-07,467,308,1,0,0
2020-02-08,745,133,0,0,0
2020-02-09,501,549,3,1,0
2020-02-10,512,869,0,1,0
2020-02-11,1215,983,1,0,0
2020-02-12,1299,1276,0,3,0
2020-02-13,887,1110,0,0,0
2020-02-14,731,758,0,0,0
2020-02-15,492,469,0,2,0
2020-02-16,427,499,1,0,0
2020-02-17,557,333,1,1,0
2020-02-18,1054,943,1,2,0
2020-02-19,1401,1050,20,4,0
2020-02-20,2029,1265,53,0,1
2020-02-21,3198,1778,100,1,1
2020-02-22,5186,2100,229,1,0
2020-02-23,4593,2404,169,0,4
2020-02-24,6577,2772,231,6,2
2020-02-25,7548,5155,144,0,4
2020-02-26,13249,6129,284,0,0
2020-02-27,13099,7742,505,2,1
2020-02-28,14515,9275,571,1,0
2020-02-29,12888,7130,813,1,4
2020-03-01,4866,6102,586,2,1
2020-03-02,10670,9755,476,1,4
2020-03-03,16260,13904,600,3,6
2020-03-04,10856,17481,516,7,4
2020-03-05,9834,16000,438,47,3
2020-03-06,18199,17659,518,20,7
2020-03-07,13449,15178,483,10,2
2020-03-08,10329,10206,367,12,6
2020-03-09,8100,9770,248,36,1
2020-03-10,13526,12401,131,81,3
2020-03-11,12251,11921,242,41,6
2020-03-12,12603,13302,114,45,6
2020-03-13,13649,13326,110,177,1
2020-03-14,12688,12887,107,204,5
2020-03-15,6877,8163,40,120,3
