Year,Quarter,Month,Day,Foreign tourists visiting Korea
2000,Qtr 1,January,1,373424
2000,Qtr 1,February,1,427929
2000,Qtr 1,March,1,443937
2000,Qtr 2,April,1,434071
2000,Qtr 2,May,1,473849
2000,Qtr 2,June,1,447890
2000,Qtr 3,July,1,456447
2000,Qtr 3,August,1,447317
2000,Qtr 3,September,1,459803
2000,Qtr 4,October,1,470669
2000,Qtr 4,November,1,455115
2000,Qtr 4,December,1,431341
2001,Qtr 1,January,1,398095
2001,Qtr 1,February,1,392689
2001,Qtr 1,March,1,450964
2001,Qtr 2,April,1,433180
2001,Qtr 2,May,1,470220
2001,Qtr 2,June,1,460330
2001,Qtr 3,July,1,457269
2001,Qtr 3,August,1,476642
2001,Qtr 3,September,1,421076
2001,Qtr 4,October,1,419422
2001,Qtr 4,November,1,373855
2001,Qtr 4,December,1,393462
2002,Qtr 1,January,1,362304
2002,Qtr 1,February,1,395402
2002,Qtr 1,March,1,449487
2002,Qtr 2,April,1,444256
2002,Qtr 2,May,1,437327
2002,Qtr 2,June,1,403466
2002,Qtr 3,July,1,459073
2002,Qtr 3,August,1,477092
2002,Qtr 3,September,1,488734
2002,Qtr 4,October,1,526527
2002,Qtr 4,November,1,447585
2002,Qtr 4,December,1,456215
2003,Qtr 1,January,1,384918
2003,Qtr 1,February,1,408695
2003,Qtr 1,March,1,404640
2003,Qtr 2,April,1,317171
2003,Qtr 2,May,1,265186
2003,Qtr 2,June,1,295508
2003,Qtr 3,July,1,376923
2003,Qtr 3,August,1,453805
2003,Qtr 3,September,1,440062
2003,Qtr 4,October,1,475442
2003,Qtr 4,November,1,446166
2003,Qtr 4,December,1,484246
2004,Qtr 1,January,1,423670
2004,Qtr 1,February,1,403784
2004,Qtr 1,March,1,448874
2004,Qtr 2,April,1,452724
2004,Qtr 2,May,1,475935
2004,Qtr 2,June,1,491386
2004,Qtr 3,July,1,506358
2004,Qtr 3,August,1,522756
2004,Qtr 3,September,1,486468
2004,Qtr 4,October,1,574693
2004,Qtr 4,November,1,519539
2004,Qtr 4,December,1,511951
2005,Qtr 1,January,1,458321
2005,Qtr 1,February,1,477706
2005,Qtr 1,March,1,532397
2005,Qtr 2,April,1,497955
2005,Qtr 2,May,1,475348
